# E(eV)          SpinUpDos SpinDownDos
-106.529420936479354509  0.000000000000000000 0.000000000000000000
-106.519420936562397628  0.000000000000000000 0.000000000000000000
-106.509420936645454958  0.000000000000000000 0.000000000000000000
-106.499420936728498077  0.000000000000000000 0.000000000000000000
-106.489420936811555407  0.000000000000000000 0.000000000000000000
-106.479420936894598526  0.000000000000000000 0.000000000000000000
-106.469420936977655856  0.000000000000000000 0.000000000000000000
-106.459420937060698975  0.000000000000000000 0.000000000000000000
-106.449420937143742094  0.000000000000000000 0.000000000000000000
-106.439420937226799424  0.000000000000000000 0.000000000000000000
-106.429420937309842543  0.000000000000000000 0.000000000000000000
-106.419420937392899873  0.000000000000000000 0.000000000000000000
-106.409420937475942992  0.000000000000000000 0.000000000000000000
-106.399420937558986111  0.000000000000000000 0.000000000000000000
-106.389420937642043441  0.000000000000000000 0.000000000000000000
-106.379420937725100771  0.000000000000000000 0.000000000000000000
-106.369420937808143890  0.000000000000000000 0.000000000000000000
-106.359420937891201220  0.000000000000000000 0.000000000000000000
-106.349420937974244339  0.000000000000000000 0.000000000000000000
-106.339420938057301669  0.000000000000000000 0.000000000000000000
-106.329420938140344788  0.000000000000000000 0.000000000000000000
-106.319420938223402118  0.000000000000000000 0.000000000000000000
-106.309420938306445237  0.000000000000000000 0.000000000000000000
-106.299420938389488356  0.000000000000000000 0.000000000000000000
-106.289420938472545686  0.000000000000000000 0.000000000000000000
-106.279420938555588805  0.000000000000000000 0.000000000000000000
-106.269420938638646135  0.000000000000000000 0.000000000000000000
-106.259420938721689254  0.000000000000000000 0.000000000000000000
-106.249420938804732373  0.000000000000000000 0.000000000000000000
-106.239420938887789703  0.000000000000000000 0.000000000000000000
-106.229420938970832822  0.000000000000000000 0.000000000000000000
-106.219420939053890152  0.000000000000000000 0.000000000000000000
-106.209420939136933271  0.000000000000000000 0.000000000000000000
-106.199420939219976390  0.000000000000000000 0.000000000000000000
-106.189420939303033720  0.000000000000000000 0.000000000000000000
-106.179420939386076839  0.000000000000000000 0.000000000000000000
-106.169420939469134169  0.000000000000000000 0.000000000000000000
-106.159420939552177288  0.000000000000000000 0.000000000000000000
-106.149420939635220407  0.000000000000000000 0.000000000000000000
-106.139420939718277737  0.000000000000000000 0.000000000000000000
-106.129420939801320856  0.000000000000000000 0.000000000000000000
-106.119420939884378186  0.000000000000000000 0.000000000000000000
-106.109420939967421305  0.000000000000000000 0.000000000000000000
-106.099420940050478634  0.000000000000000000 0.000000000000000000
-106.089420940133521754  0.000000000000000000 0.000000000000000000
-106.079420940216564873  0.000000000000000000 0.000000000000000000
-106.069420940299622202  0.000000000000000000 0.000000000000000000
-106.059420940382665322  0.000000000000000000 0.000000000000000000
-106.049420940465722651  0.000000000000000000 0.000000000000000000
-106.039420940548765770  0.000000000000000000 0.000000000000000000
-106.029420940631808890  0.000000000000000000 0.000000000000000000
-106.019420940714866219  0.000000000000000000 0.000000000000000000
-106.009420940797909338  0.000000000000000000 0.000000000000000000
-105.999420940880966668  0.000000000000000000 0.000000000000000000
-105.989420940964009787  0.000000000000000000 0.000000000000000000
-105.979420941047052906  0.000000000000000000 0.000000000000000000
-105.969420941130110236  0.000000000000000000 0.000000000000000000
-105.959420941213153355  0.000000000000000000 0.000000000000000000
-105.949420941296210685  0.000000000000000000 0.000000000000000000
-105.939420941379253804  0.000000000000000000 0.000000000000000000
-105.929420941462311134  0.000000000000000000 0.000000000000000000
-105.919420941545354253  0.000000000000000000 0.000000000000000000
-105.909420941628397372  0.000000000000000000 0.000000000000000000
-105.899420941711454702  0.000000000000000000 0.000000000000000000
-105.889420941794497821  0.000000000000000000 0.000000000000000000
-105.879420941877555151  0.000000000000000000 0.000000000000000000
-105.869420941960598270  0.000000000000000000 0.000000000000000000
-105.859420942043641389  0.000000000000000000 0.000000000000000000
-105.849420942126698719  0.000000000000000000 0.000000000000000000
-105.839420942209741838  0.000000000000000000 0.000000000000000000
-105.829420942292799168  0.000000000000000000 0.000000000000000000
-105.819420942375842287  0.000000000000000000 0.000000000000000000
-105.809420942458885406  0.000000000000000000 0.000000000000000000
-105.799420942541942736  0.000000000000000000 0.000000000000000000
-105.789420942624985855  0.000000000000000000 0.000000000000000000
-105.779420942708043185  0.000000000000000000 0.000000000000000000
-105.769420942791086304  0.000000000000000000 0.000000000000000000
-105.759420942874129423  0.000000000000000000 0.000000000000000000
-105.749420942957186753  0.000000000000000000 0.000000000000000000
-105.739420943040229872  0.000000000000000000 0.000000000000000000
-105.729420943123287202  0.000000000000000000 0.000000000000000000
-105.719420943206330321  0.000000000000000000 0.000000000000000000
-105.709420943289387651  0.000000000000000000 0.000000000000000000
-105.699420943372430770  0.000000000000000000 0.000000000000000000
-105.689420943455473889  0.000000000000000000 0.000000000000000000
-105.679420943538531219  0.000000000000000000 0.000000000000000000
-105.669420943621574338  0.000000000000000000 0.000000000000000000
-105.659420943704631668  0.000000000000000000 0.000000000000000000
-105.649420943787674787  0.000000000000000000 0.000000000000000000
-105.639420943870717906  0.000000000000000000 0.000000000000000000
-105.629420943953775236  0.000000000000000000 0.000000000000000000
-105.619420944036818355  0.000000000000000000 0.000000000000000000
-105.609420944119875685  0.000000000000000000 0.000000000000000000
-105.599420944202918804  0.000000000000000000 0.000000000000000000
-105.589420944285961923  0.000000000000000000 0.000000000000000000
-105.579420944369019253  0.000000000000000000 0.000000000000000000
-105.569420944452062372  0.000000000000000000 0.000000000000000000
-105.559420944535119702  0.000000000000000000 0.000000000000000000
-105.549420944618162821  0.000000000000000000 0.000000000000000000
-105.539420944701205940  0.000000000000000000 0.000000000000000000
-105.529420944784263270  0.000000000000000000 0.000000000000000000
-105.519420944867306389  0.000000000000000000 0.000000000000000000
-105.509420944950363719  0.000000000000000000 0.000000000000000000
-105.499420945033406838  0.000000000000000000 0.000000000000000000
-105.489420945116464168  0.000000000000000000 0.000000000000000000
-105.479420945199507287  0.000000000000000000 0.000000000000000000
-105.469420945282550406  0.000000000000000000 0.000000000000000000
-105.459420945365607736  0.000000000000000000 0.000000000000000000
-105.449420945448650855  0.000000000000000000 0.000000000000000000
-105.439420945531708185  0.000000000000000000 0.000000000000000000
-105.429420945614751304  0.000000000000000000 0.000000000000000000
-105.419420945697794423  0.000000000000000000 0.000000000000000000
-105.409420945780851753  0.000000000000000000 0.000000000000000000
-105.399420945863894872  0.000000000000000000 0.000000000000000000
-105.389420945946952202  0.000000000000000000 0.000000000000000000
-105.379420946029995321  0.000000000000000000 0.000000000000000000
-105.369420946113038440  0.000000000000000000 0.000000000000000000
-105.359420946196095770  0.000000000000000000 0.000000000000000000
-105.349420946279138889  0.000000000000000000 0.000000000000000000
-105.339420946362196219  0.000000000000000000 0.000000000000000000
-105.329420946445253549  0.000000000000000000 0.000000000000000000
-105.319420946528296668  0.000000000000000000 0.000000000000000000
-105.309420946611353997  0.000000000000000000 0.000000000000000000
-105.299420946694397117  0.000000000000000000 0.000000000000000000
-105.289420946777454446  0.000000000000000000 0.000000000000000000
-105.279420946860497565  0.000000000000000000 0.000000000000000000
-105.269420946943540685  0.000000000000000000 0.000000000000000000
-105.259420947026598014  0.000000000000000000 0.000000000000000000
-105.249420947109641133  0.000000000000000000 0.000000000000000000
-105.239420947192698463  0.000000000000000000 0.000000000000000000
-105.229420947275741582  0.000000000000000000 0.000000000000000000
-105.219420947358784701  0.000000000000000000 0.000000000000000000
-105.209420947441842031  0.000000000000000000 0.000000000000000000
-105.199420947524885150  0.000000000000000000 0.000000000000000000
-105.189420947607942480  0.000000000000000000 0.000000000000000000
-105.179420947690985599  0.000000000000000000 0.000000000000000000
-105.169420947774042929  0.000000000000000000 0.000000000000000000
-105.159420947857086048  0.000000000000000000 0.000000000000000000
-105.149420947940129167  0.000000000000000000 0.000000000000000000
-105.139420948023186497  0.000000000000000000 0.000000000000000000
-105.129420948106229616  0.000000000000000000 0.000000000000000000
-105.119420948189286946  0.000000000000000000 0.000000000000000000
-105.109420948272330065  0.000000000000000000 0.000000000000000000
-105.099420948355373184  0.000000000000000000 0.000000000000000000
-105.089420948438430514  0.000000000000000000 0.000000000000000000
-105.079420948521473633  0.000000000000000000 0.000000000000000000
-105.069420948604530963  0.000000000000000000 0.000000000000000000
-105.059420948687574082  0.000000000000000000 0.000000000000000000
-105.049420948770617201  0.000000000000000000 0.000000000000000000
-105.039420948853674531  0.000000000000000000 0.000000000000000000
-105.029420948936717650  0.000000000000000000 0.000000000000000000
-105.019420949019774980  0.000000000000000000 0.000000000000000000
-105.009420949102818099  0.000000000000000000 0.000000000000000000
-104.999420949185861218  0.000000000000000000 0.000000000000000000
-104.989420949268918548  0.000000000000000000 0.000000000000000000
-104.979420949351961667  0.000000000000000000 0.000000000000000000
-104.969420949435018997  0.000000000000000000 0.000000000000000000
-104.959420949518062116  0.000000000000000000 0.000000000000000000
-104.949420949601119446  0.000000000000000000 0.000000000000000000
-104.939420949684162565  0.000000000000000000 0.000000000000000000
-104.929420949767205684  0.000000000000000000 0.000000000000000000
-104.919420949850263014  0.000000000000000000 0.000000000000000000
-104.909420949933306133  0.000000000000000000 0.000000000000000000
-104.899420950016363463  0.000000000000000000 0.000000000000000000
-104.889420950099406582  0.000000000000000000 0.000000000000000000
-104.879420950182449701  0.000000000000000000 0.000000000000000000
-104.869420950265507031  0.000000000000000000 0.000000000000000000
-104.859420950348550150  0.000000000000000000 0.000000000000000000
-104.849420950431607480  0.000000000000000000 0.000000000000000000
-104.839420950514650599  0.000000000000000000 0.000000000000000000
-104.829420950597693718  0.000000000000000000 0.000000000000000000
-104.819420950680751048  0.000000000000000000 0.000000000000000000
-104.809420950763794167  0.000000000000000000 0.000000000000000000
-104.799420950846851497  0.000000000000000000 0.000000000000000000
-104.789420950929894616  0.000000000000000000 0.000000000000000000
-104.779420951012937735  0.000000000000000000 0.000000000000000000
-104.769420951095995065  0.000000000000000000 0.000000000000000000
-104.759420951179038184  0.000000000000000000 0.000000000000000000
-104.749420951262095514  0.000000000000000000 0.000000000000000000
-104.739420951345138633  0.000000000000000000 0.000000000000000000
-104.729420951428195963  0.000000000000000000 0.000000000000000000
-104.719420951511239082  0.000000000000000000 0.000000000000000000
-104.709420951594282201  0.000000000000000000 0.000000000000000000
-104.699420951677339531  0.000000000000000000 0.000000000000000000
-104.689420951760382650  0.000000000000000000 0.000000000000000000
-104.679420951843439980  0.000000000000000000 0.000000000000000000
-104.669420951926483099  0.000000000000000000 0.000000000000000000
-104.659420952009526218  0.000000000000000000 0.000000000000000000
-104.649420952092583548  0.000000000000000000 0.000000000000000000
-104.639420952175626667  0.000000000000000000 0.000000000000000000
-104.629420952258683997  0.000000000000000000 0.000000000000000000
-104.619420952341727116  0.000000000000000000 0.000000000000000000
-104.609420952424770235  0.000000000000000000 0.000000000000000000
-104.599420952507827565  0.000000000000000000 0.000000000000000000
-104.589420952590870684  0.000000000000000000 0.000000000000000000
-104.579420952673928014  0.000000000000000000 0.000000000000000000
-104.569420952756971133  0.000000000000000000 0.000000000000000000
-104.559420952840028463  0.000000000000000000 0.000000000000000000
-104.549420952923071582  0.000000000000000000 0.000000000000000000
-104.539420953006114701  0.000000000000000000 0.000000000000000000
-104.529420953089172031  0.000000000000000000 0.000000000000000000
-104.519420953172215150  0.000000000000000000 0.000000000000000000
-104.509420953255272480  0.000000000000000000 0.000000000000000000
-104.499420953338315599  0.000000000000000000 0.000000000000000000
-104.489420953421358718  0.000000000000000000 0.000000000000000000
-104.479420953504416048  0.000000000000000000 0.000000000000000000
-104.469420953587459167  0.000000000000000000 0.000000000000000000
-104.459420953670516496  0.000000000000000000 0.000000000000000000
-104.449420953753559616  0.000000000000000000 0.000000000000000000
-104.439420953836602735  0.000000000000000000 0.000000000000000000
-104.429420953919660064  0.000000000000000000 0.000000000000000000
-104.419420954002703184  0.000000000000000000 0.000000000000000000
-104.409420954085760513  0.000000000000000000 0.000000000000000000
-104.399420954168803632  0.000000000000000000 0.000000000000000000
-104.389420954251846752  0.000000000000000000 0.000000000000000000
-104.379420954334904081  0.000000000000000000 0.000000000000000000
-104.369420954417947200  0.000000000000000000 0.000000000000000000
-104.359420954501004530  0.000000000000000000 0.000000000000000000
-104.349420954584047649  0.000000000000000000 0.000000000000000000
-104.339420954667104979  0.000000000000000000 0.000000000000000000
-104.329420954750148098  0.000000000000000000 0.000000000000000000
-104.319420954833191217  0.000000000000000000 0.000000000000000000
-104.309420954916248547  0.000000000000000000 0.000000000000000000
-104.299420954999291666  0.000000000000000000 0.000000000000000000
-104.289420955082348996  0.000000000000000000 0.000000000000000000
-104.279420955165392115  0.000000000000000000 0.000000000000000000
-104.269420955248435234  0.000000000000000000 0.000000000000000000
-104.259420955331492564  0.000000000000000000 0.000000000000000000
-104.249420955414535683  0.000000000000000000 0.000000000000000000
-104.239420955497593013  0.000000000000000000 0.000000000000000000
-104.229420955580650343  0.000000000000000000 0.000000000000000000
-104.219420955663693462  0.000000000000000000 0.000000000000000000
-104.209420955746750792  0.000000000000000000 0.000000000000000000
-104.199420955829793911  0.000000000000000000 0.000000000000000000
-104.189420955912851241  0.000000000000000000 0.000000000000000000
-104.179420955995894360  0.000000000000000000 0.000000000000000000
-104.169420956078937479  0.000000000000000000 0.000000000000000000
-104.159420956161994809  0.000000000000000000 0.000000000000000000
-104.149420956245037928  0.000000000000000000 0.000000000000000000
-104.139420956328095258  0.000000000000000000 0.000000000000000000
-104.129420956411138377  0.000000000000000000 0.000000000000000000
-104.119420956494181496  0.000000000000000000 0.000000000000000000
-104.109420956577238826  0.000000000000000000 0.000000000000000000
-104.099420956660281945  0.000000000000000000 0.000000000000000000
-104.089420956743339275  0.000000000000000000 0.000000000000000000
-104.079420956826382394  0.000000000000000000 0.000000000000000000
-104.069420956909425513  0.000000000000000000 0.000000000000000000
-104.059420956992482843  0.000000000000000000 0.000000000000000000
-104.049420957075525962  0.000000000000000000 0.000000000000000000
-104.039420957158583292  0.000000000000000000 0.000000000000000000
-104.029420957241626411  0.000000000000000000 0.000000000000000000
-104.019420957324683741  0.000000000000000000 0.000000000000000000
-104.009420957407726860  0.000000000000000000 0.000000000000000000
-103.999420957490769979  0.000000000000000000 0.000000000000000000
-103.989420957573827309  0.000000000000000000 0.000000000000000000
-103.979420957656870428  0.000000000000000000 0.000000000000000000
-103.969420957739927758  0.000000000000000000 0.000000000000000000
-103.959420957822970877  0.000000000000000000 0.000000000000000000
-103.949420957906013996  0.000000000000000000 0.000000000000000000
-103.939420957989071326  0.000000000000000000 0.000000000000000000
-103.929420958072114445  0.000000000000000000 0.000000000000000000
-103.919420958155171775  0.000000000000000000 0.000000000000000000
-103.909420958238214894  0.000000000000000000 0.000000000000000000
-103.899420958321258013  0.000000000000000000 0.000000000000000000
-103.889420958404315343  0.000000000000000000 0.000000000000000000
-103.879420958487358462  0.000000000000000000 0.000000000000000000
-103.869420958570415792  0.000000000000000000 0.000000000000000000
-103.859420958653458911  0.000000000000000000 0.000000000000000000
-103.849420958736502030  0.000000000000000000 0.000000000000000000
-103.839420958819559360  0.000000000000000000 0.000000000000000000
-103.829420958902602479  0.000000000000000000 0.000000000000000000
-103.819420958985659809  0.000000000000000000 0.000000000000000000
-103.809420959068702928  0.000000000000000000 0.000000000000000000
-103.799420959151760258  0.000000000000000000 0.000000000000000000
-103.789420959234803377  0.000000000000000000 0.000000000000000000
-103.779420959317846496  0.000000000000000000 0.000000000000000000
-103.769420959400903826  0.000000000000000000 0.000000000000000000
-103.759420959483946945  0.000000000000000000 0.000000000000000000
-103.749420959567004275  0.000000000000000000 0.000000000000000000
-103.739420959650047394  0.000000000000000000 0.000000000000000000
-103.729420959733090513  0.000000000000000000 0.000000000000000000
-103.719420959816147843  0.000000000000000000 0.000000000000000000
-103.709420959899190962  0.000000000000000000 0.000000000000000000
-103.699420959982248291  0.000000000000000000 0.000000000000000000
-103.689420960065291411  0.000000000000000000 0.000000000000000000
-103.679420960148334530  0.000000000000000000 0.000000000000000000
-103.669420960231391859  0.000000000000000000 0.000000000000000000
-103.659420960314434978  0.000000000000000000 0.000000000000000000
-103.649420960397492308  0.000000000000000000 0.000000000000000000
-103.639420960480535427  0.000000000000000000 0.000000000000000000
-103.629420960563578546  0.000000000000000000 0.000000000000000000
-103.619420960646635876  0.000000000000000000 0.000000000000000000
-103.609420960729678995  0.000000000000000000 0.000000000000000000
-103.599420960812736325  0.000000000000000000 0.000000000000000000
-103.589420960895779444  0.000000000000000000 0.000000000000000000
-103.579420960978836774  0.000000000000000000 0.000000000000000000
-103.569420961061879893  0.000000000000000000 0.000000000000000000
-103.559420961144923012  0.000000000000000000 0.000000000000000000
-103.549420961227980342  0.000000000000000000 0.000000000000000000
-103.539420961311023461  0.000000000000000000 0.000000000000000000
-103.529420961394080791  0.000000000000000000 0.000000000000000000
-103.519420961477123910  0.000000000000000000 0.000000000000000000
-103.509420961560167029  0.000000000000000000 0.000000000000000000
-103.499420961643224359  0.000000000000000000 0.000000000000000000
-103.489420961726267478  0.000000000000000000 0.000000000000000000
-103.479420961809324808  0.000000000000000000 0.000000000000000000
-103.469420961892367927  0.000000000000000000 0.000000000000000000
-103.459420961975411046  0.000000000000000000 0.000000000000000000
-103.449420962058468376  0.000000000000000000 0.000000000000000000
-103.439420962141511495  0.000000000000000000 0.000000000000000000
-103.429420962224568825  0.000000000000000000 0.000000000000000000
-103.419420962307611944  0.000000000000000000 0.000000000000000000
-103.409420962390669274  0.000000000000000000 0.000000000000000000
-103.399420962473712393  0.000000000000000000 0.000000000000000000
-103.389420962556755512  0.000000000000000000 0.000000000000000000
-103.379420962639812842  0.000000000000000000 0.000000000000000000
-103.369420962722855961  0.000000000000000000 0.000000000000000000
-103.359420962805913291  0.000000000000000000 0.000000000000000000
-103.349420962888956410  0.000000000000000000 0.000000000000000000
-103.339420962971999529  0.000000000000000000 0.000000000000000000
-103.329420963055056859  0.000000000000000000 0.000000000000000000
-103.319420963138099978  0.000000000000000000 0.000000000000000000
-103.309420963221157308  0.000000000000000000 0.000000000000000000
-103.299420963304200427  0.000000000000000000 0.000000000000000000
-103.289420963387243546  0.000000000000000000 0.000000000000000000
-103.279420963470300876  0.000000000000000000 0.000000000000000000
-103.269420963553343995  0.000000000000000000 0.000000000000000000
-103.259420963636401325  0.000000000000000000 0.000000000000000000
-103.249420963719444444  0.000000000000000000 0.000000000000000000
-103.239420963802487563  0.000000000000000000 0.000000000000000000
-103.229420963885544893  0.000000000000000000 0.000000000000000000
-103.219420963968602223  0.000000000000000000 0.000000000000000000
-103.209420964051659553  0.000000000000000000 0.000000000000000000
-103.199420964134702672  0.000000000000000000 0.000000000000000000
-103.189420964217745791  0.000000000000000000 0.000000000000000000
-103.179420964300803121  0.000000000000000000 0.000000000000000000
-103.169420964383846240  0.000000000000000000 0.000000000000000000
-103.159420964466903570  0.000000000000000000 0.000000000000000000
-103.149420964549946689  0.000000000000000000 0.000000000000000000
-103.139420964632989808  0.000000000000000000 0.000000000000000000
-103.129420964716047138  0.000000000000000000 0.000000000000000000
-103.119420964799090257  0.000000000000000000 0.000000000000000000
-103.109420964882147587  0.000000000000000000 0.000000000000000000
-103.099420964965190706  0.000000000000000000 0.000000000000000000
-103.089420965048233825  0.000000000000000000 0.000000000000000000
-103.079420965131291155  0.000000000000000000 0.000000000000000000
-103.069420965214334274  0.000000000000000000 0.000000000000000000
-103.059420965297391604  0.000000000000000000 0.000000000000000000
-103.049420965380434723  0.000000000000000000 0.000000000000000000
-103.039420965463492053  0.000000000000000000 0.000000000000000000
-103.029420965546535172  0.000000000000000000 0.000000000000000000
-103.019420965629578291  0.000000000000000000 0.000000000000000000
-103.009420965712635621  0.000000000000000000 0.000000000000000000
-102.999420965795678740  0.000000000000000000 0.000000000000000000
-102.989420965878736069  0.000000000000000000 0.000000000000000000
-102.979420965961779189  0.000000000000000000 0.000000000000000000
-102.969420966044822308  0.000000000000000000 0.000000000000000000
-102.959420966127879637  0.000000000000000000 0.000000000000000000
-102.949420966210922757  0.000000000000000000 0.000000000000000000
-102.939420966293980086  0.000000000000000000 0.000000000000000000
-102.929420966377023205  0.000000000000000000 0.000000000000000000
-102.919420966460066325  0.000000000000000000 0.000000000000000000
-102.909420966543123654  0.000000000000000000 0.000000000000000000
-102.899420966626166773  0.000000000000000000 0.000000000000000000
-102.889420966709224103  0.000000000000000000 0.000000000000000000
-102.879420966792267222  0.000000000000000000 0.000000000000000000
-102.869420966875310341  0.000000000000000000 0.000000000000000000
-102.859420966958367671  0.000000000000000000 0.000000000000000000
-102.849420967041410790  0.000000000000000000 0.000000000000000000
-102.839420967124468120  0.000000000000000000 0.000000000000000000
-102.829420967207511239  0.000000000000000000 0.000000000000000000
-102.819420967290568569  0.000000000000000000 0.000000000000000000
-102.809420967373611688  0.000000000000000000 0.000000000000000000
-102.799420967456654807  0.000000000000000000 0.000000000000000000
-102.789420967539712137  0.000000000000000000 0.000000000000000000
-102.779420967622755256  0.000000000000000000 0.000000000000000000
-102.769420967705812586  0.000000000000000000 0.000000000000000000
-102.759420967788855705  0.000000000000000000 0.000000000000000000
-102.749420967871898824  0.000000000000000000 0.000000000000000000
-102.739420967954956154  0.000000000000000000 0.000000000000000000
-102.729420968037999273  0.000000000000000000 0.000000000000000000
-102.719420968121056603  0.000000000000000000 0.000000000000000000
-102.709420968204099722  0.000000000000000000 0.000000000000000000
-102.699420968287142841  0.000000000000000000 0.000000000000000000
-102.689420968370200171  0.000000000000000000 0.000000000000000000
-102.679420968453243290  0.000000000000000000 0.000000000000000000
-102.669420968536300620  0.000000000000000000 0.000000000000000000
-102.659420968619343739  0.000000000000000000 0.000000000000000000
-102.649420968702401069  0.000000000000000000 0.000000000000000000
-102.639420968785444188  0.000000000000000000 0.000000000000000000
-102.629420968868487307  0.000000000000000000 0.000000000000000000
-102.619420968951544637  0.000000000000000000 0.000000000000000000
-102.609420969034587756  0.000000000000000000 0.000000000000000000
-102.599420969117645086  0.000000000000000000 0.000000000000000000
-102.589420969200688205  0.000000000000000000 0.000000000000000000
-102.579420969283731324  0.000000000000000000 0.000000000000000000
-102.569420969366788654  0.000000000000000000 0.000000000000000000
-102.559420969449831773  0.000000000000000000 0.000000000000000000
-102.549420969532889103  0.000000000000000000 0.000000000000000000
-102.539420969615932222  0.000000000000000000 0.000000000000000000
-102.529420969698975341  0.000000000000000000 0.000000000000000000
-102.519420969782032671  0.000000000000000000 0.000000000000000000
-102.509420969865075790  0.000000000000000000 0.000000000000000000
-102.499420969948133120  0.000000000000000000 0.000000000000000000
-102.489420970031176239  0.000000000000000000 0.000000000000000000
-102.479420970114219358  0.000000000000000000 0.000000000000000000
-102.469420970197276688  0.000000000000000000 0.000000000000000000
-102.459420970280319807  0.000000000000000000 0.000000000000000000
-102.449420970363377137  0.000000000000000000 0.000000000000000000
-102.439420970446420256  0.000000000000000000 0.000000000000000000
-102.429420970529477586  0.000000000000000000 0.000000000000000000
-102.419420970612520705  0.000000000000000000 0.000000000000000000
-102.409420970695563824  0.000000000000000000 0.000000000000000000
-102.399420970778621154  0.000000000000000000 0.000000000000000000
-102.389420970861664273  0.000000000000000000 0.000000000000000000
-102.379420970944721603  0.000000000000000000 0.000000000000000000
-102.369420971027764722  0.000000000000000000 0.000000000000000000
-102.359420971110807841  0.000000000000000000 0.000000000000000000
-102.349420971193865171  0.000000000000000000 0.000000000000000000
-102.339420971276908290  0.000000000000000000 0.000000000000000000
-102.329420971359965620  0.000000000000000000 0.000000000000000000
-102.319420971443008739  0.000000000000000000 0.000000000000000000
-102.309420971526051858  0.000000000000000000 0.000000000000000000
-102.299420971609109188  0.000000000000000000 0.000000000000000000
-102.289420971692152307  0.000000000000000000 0.000000000000000000
-102.279420971775209637  0.000000000000000000 0.000000000000000000
-102.269420971858252756  0.000000000000000000 0.000000000000000000
-102.259420971941310086  0.000000000000000000 0.000000000000000000
-102.249420972024353205  0.000000000000000000 0.000000000000000000
-102.239420972107396324  0.000000000000000000 0.000000000000000000
-102.229420972190453654  0.000000000000000000 0.000000000000000000
-102.219420972273496773  0.000000000000000000 0.000000000000000000
-102.209420972356554103  0.000000000000000000 0.000000000000000000
-102.199420972439597222  0.000000000000000000 0.000000000000000000
-102.189420972522640341  0.000000000000000000 0.000000000000000000
-102.179420972605697671  0.000000000000000000 0.000000000000000000
-102.169420972688740790  0.000000000000000000 0.000000000000000000
-102.159420972771798120  0.000000000000000000 0.000000000000000000
-102.149420972854841239  0.000000000000000000 0.000000000000000000
-102.139420972937884358  0.000000000000000000 0.000000000000000000
-102.129420973020941688  0.000000000000000000 0.000000000000000000
-102.119420973103984807  0.000000000000000000 0.000000000000000000
-102.109420973187042136  0.000000000000000000 0.000000000000000000
-102.099420973270085256  0.000000000000000000 0.000000000000000000
-102.089420973353142585  0.000000000000000000 0.000000000000000000
-102.079420973436199915  0.000000000000000000 0.000000000000000000
-102.069420973519243034  0.000000000000000000 0.000000000000000000
-102.059420973602300364  0.000000000000000000 0.000000000000000000
-102.049420973685343483  0.000000000000000000 0.000000000000000000
-102.039420973768386602  0.000000000000000000 0.000000000000000000
-102.029420973851443932  0.000000000000000000 0.000000000000000000
-102.019420973934487051  0.000000000000000000 0.000000000000000000
-102.009420974017544381  0.000000000000000000 0.000000000000000000
-101.999420974100587500  0.000000000000000000 0.000000000000000000
-101.989420974183630619  0.000000000000000000 0.000000000000000000
-101.979420974266687949  0.000000000000000000 0.000000000000000000
-101.969420974349731068  0.000000000000000000 0.000000000000000000
-101.959420974432788398  0.000000000000000000 0.000000000000000000
-101.949420974515831517  0.000000000000000000 0.000000000000000000
