8.563624255 -4.210990556 4.210989737  8.578928198 -4.224656037 4.206306587  8.58916347 -4.234891833 4.241539851  8.607678959 -4.253407446 4.287222151  8.637923208 -4.283651064 4.339900043  8.676807817 -4.322533497 4.384821959  8.698201777 -4.343799074 4.366253225
-2.163221979 -6.590267345 2.163225097  -2.160265239 -6.598722024 2.140275799  -2.165912781 -6.59409028 2.14648469  -2.170319475 -6.587523902 2.153885598  -2.174267373 -6.577008203 2.166373063  -2.176833882 -6.561873105 2.184281067  -2.186023828 -6.531361809 2.177223585
-2.163222728 -2.163225289 6.590265499  -2.128427049 -2.150542423 6.550940799  -2.111789338 -2.133390116 6.538840078  -2.102858878 -2.124170111 6.532817042  -2.103356636 -2.124714328 6.528653004  -2.108263396 -2.129617776 6.520099653  -2.125218102 -2.125219426 6.479406122
-6.590254004 6.517272735 -6.517272422  -6.582121186 6.536203494 -6.513331711  -6.58057481 6.590916627 -6.484733743  -6.575772018 6.658378883 -6.46976849  -6.564649281 6.736096847 -6.470283439  -6.547260766 6.823864918 -6.481981697  -6.531375882 6.924016602 -6.531380515
6.51727378 -6.590255118 -6.517271655  6.566396567 -6.602835386 -6.512199556  6.621877642 -6.601127225 -6.484992154  6.688365611 -6.596569059 -6.470591278  6.765102747 -6.5859311 -6.471140737  6.851584375 -6.569150362 -6.482933717  6.924006727 -6.53137691 -6.531377328
-6.472470765 -2.163142801 -6.517279946  -6.460013209 -2.212122974 -6.512198776  -6.461721147 -2.267605808 -6.484992108  -6.466279175 -2.33409391 -6.470591299  -6.476917659 -2.410834152 -6.471140443  -6.493681096 -2.497327146 -6.482944439  -6.531316473 -2.569847166 -6.531315306
-2.163141112 -6.472472228 -6.517280416  -2.181930698 -6.480727917 -6.513329887  -2.236644943 -6.4822734 -6.484733748  -2.304107101 -6.487076206 -6.469768548  -2.38182626 -6.498199788 -6.470283475  -2.469595872 -6.515576048 -6.481991054  -2.569857007 -6.531316211 -6.531317553
8.698167727 4.366318539 4.343746927  8.708253555 4.347446964 4.324787978  8.707376953 4.339443009 4.327916382  8.706537409 4.333014882 4.331139366  8.705990124 4.327360188 4.335143231  8.705303447 4.32090528 4.340356348  8.693629313 4.324882566 4.324882967
4.366318278 8.698165933 4.34374745  4.368825106 8.688052397 4.324875201  4.360787616 8.687372363 4.328025495  4.354545916 8.686627663 4.331368251  4.349188016 8.686129488 4.335308025  4.342949717 8.685142861 4.340346611  4.324882828 8.693629 4.324883402
8.698184935 8.69818281 0.011924353  8.712619742 8.69225065 -0.017096001  8.712602577 8.692419494 -0.009626289  8.712414865 8.692223795 0.000190966  8.712507967 8.692359843 0.010376831  8.712620151 8.692234083 0.017600364  8.698217261 8.698217226 -0.011874278
-4.343726636 -4.343728639 0.011878215  -4.337979401 -4.358347112 -0.017097992  -4.338147572 -4.358330556 -0.009626324  -4.337951867 -4.358142989 0.000190891  -4.338087524 -4.35823496 0.010377082  -4.337958145 -4.35834733 0.017598247  -4.343784025 -4.343783294 -0.011835403
-4.343745673 4.366319671 -8.698165759  -4.338741456 4.354102868 -8.713078135  -4.342479057 4.356737488 -8.709526362  -4.343916525 4.358075453 -8.708184298  -4.342389907 4.356575221 -8.707222805  -4.338522273 4.354035246 -8.703538455  -4.343798186 4.366255629 -8.718919477
4.366316345 -4.343746944 -8.698164836  4.377051094 -4.358624816 -8.712584393  4.379617085 -4.362368283 -8.709328626  4.38102482 -4.36389498 -8.708159871  4.379599013 -4.36240121 -8.707424522  4.376963722 -4.358782228 -8.704094135  4.366253434 -4.343799353 -8.718917805
8.698166647 -4.343746944 -4.36631887  8.676282641 -4.322010445 -4.383223548  8.637689932 -4.28341838 -4.339036739  8.607677401 -4.253405814 -4.286604852  8.589111573 -4.234839046 -4.240877413  8.579037986 -4.224757141 -4.205591675  8.563685754 -4.210841691 -4.210842649
-4.34374515 8.698164453 -4.366318661  -4.302855907 8.657130561 -4.388995709  -4.263478435 8.617749952 -4.343463799  -4.232929312 8.587200954 -4.289530115  -4.213996357 8.568268306 -4.242485002  -4.203441524 8.557722367 -4.206105555  -4.210840542 8.563684727 -4.210841535
6.565793592 6.565793087 2.211646276  6.572920504 6.552580001 2.179865485  6.568718153 6.548769454 2.176433698  6.564921647 6.545116654 2.174984311  6.56010974 6.540321691 2.174268304  6.553085227 6.532928002 2.172407344  6.530198642 6.53019946 2.142343259
-2.125228465 6.479405461 2.125230956  -2.11541125 6.469682754 2.127711466  -2.119736999 6.474008652 2.15014016  -2.125949754 6.480221541 2.169882814  -2.135385872 6.489657073 2.190797614  -2.148324257 6.502594405 2.213688935  -2.176095112 6.530207472 2.212081895
6.479406749 -2.125230538 2.125230921  6.49001408 -2.135743034 2.128475652  6.494145536 -2.139873834 2.150344724  6.500094404 -2.145822699 2.16934104  6.509284191 -2.1550117 2.189444563  6.522261763 -2.167991465 2.211736276  6.530206462 -2.176094624 2.212081373
-2.211680796 -2.211681023 2.211680431  -2.198307663 -2.218649373 2.179867408  -2.194497654 -2.214446375 2.176433668  -2.190844938 -2.210649908 2.174984329  -2.186049429 -2.205837069 2.174268167  -2.178653899 -2.19880834 2.172414544  -2.17609607 -2.176094154 2.142331921
6.479342968 6.479343055 -6.479341662  6.484018119 6.462392262 -6.519702703  6.478880076 6.457685364 -6.528386138  6.478314654 6.457129346 -6.532326107  6.487448962 6.46606787 -6.538552834  6.504518162 6.482975426 -6.550702063  6.51729273 6.517290187 -6.590257574
-2.211645144 6.56579138 -6.565791624  -2.194114809 6.548386632 -6.566513013  -2.187279251 6.541551123 -6.543070813  -2.183018613 6.5372904 -6.522642729  -2.177967063 6.53224033 -6.50324438  -2.169268161 6.523542455 -6.47945919  -2.163138133 6.517296962 -6.472483078
6.565791363 -2.211644673 -6.565792756  6.569178629 -2.214906793 -6.56469307  6.562737495 -2.208465807 -6.541913818  6.558757221 -2.204485525 -6.522154988  6.553816207 -2.199545332 -6.503331799  6.545102149 -2.190830089 -6.480131955  6.517297311 -2.163139858 -6.472480536
-2.125230799 -2.125231113 -6.479406662  -2.108120641 -2.129744727 -6.519703743  -2.103413766 -2.124608239 -6.528386154  -2.10285774 -2.124042779 -6.532326171  -2.111796347 -2.133179173 -6.538552723  -2.128706558 -2.150254008 -6.550707525  -2.163211372 -2.163213132 -6.590269871
-6.531315097 2.177243371 6.531318214  -6.521384846 2.164387761 6.522019983  -6.521516043 2.163716382 6.530511134  -6.521487318 2.163086025 6.537123207  -6.521547834 2.16272174 6.543336346  -6.521343971 2.162894553 6.550990464  -6.531310063 2.177223358 6.540130075
2.177233199 -6.531317274 6.531318476  2.189882239 -6.541461319 6.522018666  2.190555403 -6.541332203 6.5305111  2.191185602 -6.541360935 6.53712329  2.191551389 -6.541300599 6.543337543  2.191366724 -6.541503381 6.550993522  2.177223846 -6.531311718 6.540131225
-6.531315132 -6.531317065 -2.177244276  -6.521557895 -6.541288716 -2.365734651  -6.5214886 -6.541359897 -2.446074035  -6.521352172 -6.54149623 -2.480108341  -6.521261366 -6.541586098 -2.491551062  -6.520963936 -6.541884147 -2.502260711  -6.531315933 -6.531314714 -2.569847932
-4.339198847 4.324794349 -0.029200864  -4.326672109 4.313343094 -0.034636947  -4.325075377 4.310651627 -0.016671773  -4.32458215 4.309361616 0.000176749  -4.325054052 4.31062168 0.017463501  -4.326365147 4.313368755 0.035351418  -4.339220357 4.324885458 0.029145408
4.324792415 -4.339201303 -0.029200603  4.332903046 -4.345971368 -0.033759111  4.330136095 -4.34448055 -0.016231744  4.328820314 -4.344044741 0.000183714  4.330120324 -4.344565529 0.016933041  4.333010981 -4.346199819 0.034447358  4.324884012 -4.339220636 0.029146558
4.324790012 4.324792067 -8.693626823  4.32963757 4.308879383 -8.708964718  4.325471715 4.304757592 -8.707987204  4.323635037 4.302914792 -8.70832734  4.325496572 4.304725758 -8.708751413  4.329665654 4.308811448 -8.707692449  4.324883333 4.324883315 -8.723491157
8.693627781 4.324793042 -4.324790935  8.705139003 4.320919039 -4.339813168  8.705985973 4.327374219 -4.334622038  8.706569158 4.333022995 -4.330598428  8.707333191 4.339361473 -4.327441868  8.708440735 4.347521382 -4.324439436  8.698202823 4.366253382 -4.343800223
4.324789315 8.693626422 -4.324791457  4.342982139 8.685299559 -4.339895473  4.349169192 8.686148466 -4.334822046  4.354544906 8.686680449 -4.330849  4.36079783 8.687313309 -4.327509308  4.368730549 8.687979449 -4.324321917  4.366254758 8.698201255 -4.343799997
6.540099804 2.177234436 6.531295381  6.547808415 2.150275674 6.521866468  6.545403657 2.141103449 6.526806849  6.543390707 2.136078015 6.529838114  6.541825529 2.134123885 6.53304083  6.540750074 2.132876746 6.538698827  6.530199199 2.142343329 6.530200418
2.177237066 6.540099944 6.531296025  2.172130594 6.527495251 6.521488234  2.162801253 6.52541655 6.526717782  2.157586699 6.523527082 6.529982392  2.155691556 6.522057482 6.533254692  2.154356199 6.520752733 6.539002471  2.14234406 6.53019913 6.530199286
-2.18601728 2.177234767 6.531351829  -2.173223364 2.182138305 6.521488963  -2.171144854 2.191470525 6.526717724  -2.169255419 2.196685127 6.529982303  -2.167784734 2.1985812 6.533254533  -2.166478985 2.199907653 6.539001262  -2.176095217 2.212081181 6.530207124
-6.531351028 2.177234035 2.186017489  -6.521562486 2.16699814 2.172404719  -6.521738189 2.166963775 2.17711491  -6.521796982 2.166973817 2.180083604  -6.521835202 2.166987434 2.183594254  -6.521634782 2.166926653 2.189277688  -6.531344357 2.177215329 2.17721505
2.177236979 -2.186016879 6.531351551  2.203993838 -2.193537565 6.521866078  2.213168198 -2.191131939 6.526806756  2.218193532 -2.189118834 6.529838113  2.220148647 -2.187553353 6.533040839  2.221388657 -2.186480939 6.538699316  2.212081425 -2.17609553 6.530209528
2.177237727 -6.531351603 2.186017541  2.187273393 -6.541285916 2.172404974  2.187307866 -6.541110128 2.177114914  2.187297833 -6.541051244 2.18008368  2.187284123 -6.541011871 2.183594979  2.187346017 -6.541208492 2.189279235  2.177216426 -6.531344357 2.17721573
-6.531293935 6.54010064 -2.177234941  -6.501057219 6.530905082 -2.183851447  -6.485692251 6.528343594 -2.165588241  -6.475171398 6.524562953 -2.15351367  -6.46885144 6.520050328 -2.14579487  -6.463887447 6.51458454 -2.139652249  -6.472480309 6.517296457 -2.163141443
-6.531295067 2.177235794 -6.540099804  -6.521461825 2.163187857 -6.550511468  -6.521514643 2.162846375 -6.542903297  -6.521481685 2.163250306 -6.536539182  -6.521516642 2.163496384 -6.530114474  -6.521350377 2.163901406 -6.52166792  -6.531328961 2.177230795 -6.531331922
6.540099595 -6.531294719 -2.177234105  6.550951997 -6.520372031 -2.182635803  6.548189324 -6.505164264 -2.165171832  6.544458179 -6.494845498 -2.153445396  6.539994123 -6.488719544 -2.146010212  6.534625105 -6.484327869 -2.140194103  6.517297868 -6.472482051 -2.163139492
2.177236404 -6.531295119 -6.540099491  2.191083193 -6.541386009 -6.550511087  2.191425415 -6.541333468 -6.542903387  2.191021393 -6.541366497 -6.53653933  2.190776167 -6.541331449 -6.530114318  2.190362198 -6.541499733 -6.52166635  2.17722139 -6.531330946 -6.531330546
-2.186017854 -6.531351934 -2.177234697  -2.176634007 -6.561790676 -2.183851905  -2.174072118 -6.577156033 -2.165588208  -2.170291369 -6.587676888 -2.153513625  -2.165778183 -6.593996311 -2.145794746  -2.16031249 -6.598957683 -2.139655382  -2.163210745 -6.590269139 -2.163212818
-6.531351969 -2.186016914 -2.177233669  -6.542476016 -2.196680765 -2.182636423  -6.557684015 -2.19391772 -2.165171753  -6.568002816 -2.190186564 -2.153445353  -6.574128331 -2.185721933 -2.146009511  -6.578518776 -2.180355648 -2.140199342  -6.590269383 -2.163212801 -2.163212261
2.212051572 6.53020115 2.176112634  2.219036342 6.521079631 2.167755275  2.215095764 6.521421376 2.173795091  2.211859742 6.521210874 2.177279026  2.207461944 6.520877248 2.180907762  2.200474911 6.520644201 2.186639132  2.177194951 6.530893585 2.177195996
6.530199513 2.212050492 2.176111606  6.540835153 2.198545323 2.167998168  6.540783526 2.19509053 2.173804934  6.540537264 2.191976895 2.177019059  6.540209834 2.187571674 2.18057565  6.54028263 2.180351729 2.186184048  6.530891599 2.177196066 2.177196048
-2.176110892 2.14238203 2.176109952  -2.166806702 2.135234284 2.167757528  -2.167149577 2.139175956 2.173795051  -2.166939026 2.14241212 2.177278963  -2.16660529 2.146809763 2.180907457  -2.166372156 2.153796209 2.186640117  -2.176772795 2.177244276 2.177244659
2.142383388 -2.176109325 2.176108994  2.155725192 -2.186563032 2.167999164  2.159181289 -2.186511745 2.173804908  2.162294918 -2.186265457 2.177019101  2.166700463 -2.185937287 2.180575493  2.173918844 -2.186010134 2.186188005  2.177242674 -2.176770844 2.177245025
2.142394239 6.530189933 -6.530189324  2.154380962 6.520739956 -6.538548543  2.155754804 6.522095137 -6.532794813  2.157624055 6.523620823 -6.529454378  2.162982303 6.525559161 -6.526297733  2.172124217 6.527642807 -6.521165524  2.177225588 6.540130998 -6.531311404
6.530188871 2.142395005 -6.530190525  6.540837646 2.132982913 -6.538241771  6.541944547 2.134261018 -6.532617866  6.543498688 2.136049703 -6.529295966  6.545450503 2.141277292 -6.526347188  6.547829657 2.150522164 -6.521453848  6.540132322 2.177221913 -6.531310133
6.530189759 6.5301911 -2.142393629  6.55311823 6.533111118 -2.172072895  6.560247102 6.540474297 -2.173781105  6.565076157 6.545185608 -2.174403108  6.568772443 6.548744197 -2.175907214  6.573007258 6.552560757 -2.17952932  6.565795142 6.565794428 -2.211630043
-2.176113087 2.212049726 -6.530201324  -2.16646893 2.199889908 -6.538550493  -2.167823289 2.198517014 -6.532794772  -2.169349141 2.196647846 -6.529454316  -2.171285985 2.191291082 -6.526297036  -2.173371394 2.182141518 -6.521162961  -2.186023393 2.177222296 -6.531362402
-2.176112303 6.530200349 -2.212050457  -2.148242274 6.50251525 -2.212986711  -2.135279071 6.489550743 -2.189774421  -2.125970354 6.480242197 -2.169355739  -2.119637044 6.473909124 -2.149251572  -2.11527111 6.469544169 -2.127047572  -2.125218102 6.479406993 -2.125220018
2.212049186 -2.176112146 -6.530201916  2.221287511 -2.186566215 -6.538243071  2.220010604 -2.187672786 -6.532617931  2.218221785 -2.189226754 -6.529296049  2.21299442 -2.191178543 -6.526346428  2.203741263 -2.193559545 -6.521449429  2.177224891 -2.186024752 -6.531360207
6.530198294 -2.176110579 -2.212050022  6.522272528 -2.168000107 -2.211076037  6.509284153 -2.155012479 -2.188651425  6.500201604 -2.145929873 -2.168956336  6.494108297 -2.139836356 -2.149563547  6.490016632 -2.135747263 -2.127871309  6.479407446 -2.125219879 -2.125219008
-2.176112198 -2.176110579 -2.142382604  -2.178840105 -2.198848114 -2.17207297  -2.186202448 -2.205975287 -2.173781101  -2.190913846 -2.210804331 -2.174403051  -2.194471664 -2.214499957 -2.175907121  -2.198288404 -2.218735515 -2.179534596  -2.211663902 -2.211662787 -2.211662526
4.350298063 4.350302296 -0.003943062  4.361693121 4.342783378 -0.012298221  4.362160634 4.343119179 -0.005114457  4.36229313 4.34322119 0.000228979  4.362196338 4.343048509 0.005708974  4.362002592 4.342443444 0.012918646  4.350351795 4.350355035 0.003894712
-4.343725905 -0.01187818 4.343728273  -4.333780388 -0.014556698 4.324876465  -4.333100558 -0.006515704 4.328025466  -4.332355923 -0.000273997 4.331368083  -4.331856675 0.005083416 4.335308068  -4.330862322 0.01131683 4.340350385  -4.339220357 0.029146349 4.324884796
-0.011878615 -4.343728622 4.343728552  0.006823126 -4.353979872 4.324787685  0.014828848 -4.35310498 4.327916364  0.021256839 -4.352265635 4.331139428  0.026911801 -4.351717561 4.335143336  0.033362437 -4.35102706 4.340358993  0.029145216 -4.339221959 4.324885109
8.698183942 -0.011923743 -8.698182932  8.712899485 -0.022775882 -8.712583053  8.716640261 -0.025345236 -8.709328585  8.718167081 -0.026753325 -8.708159871  8.716672356 -0.025326442 -8.707425823  8.713057392 -0.022705036 -8.704097788  8.698217662 -0.011874992 -8.718903331
-0.011924213 8.698181939 -8.698182932  0.000166603 8.693013718 -8.71308218  -0.002465559 8.696751129 -8.709526378  -0.003803512 8.698188395 -8.708184315  -0.002300221 8.696662289 -8.707222691  0.000229322 8.692800106 -8.703540305  -0.01187285 8.698216007 -8.718903697
2.177226145 2.177226946 6.531331939  2.187382708 2.166885803 6.526068064  2.187189364 2.167082256 6.532112815  2.187132364 2.167139428 6.535065852  2.187108048 2.167164225 6.537468177  2.187173526 2.167095027 6.541475713  2.177194759 2.177195839 6.530894195
-6.531332792 2.177227643 -2.177227033  -6.521661484 2.166850344 -2.188710736  -6.52171232 2.166951102 -2.182944449  -6.52178224 2.166970797 -2.17957182  -6.521748737 2.1669643 -2.17651391  -6.521483105 2.167078711 -2.171943427  -6.531361687 2.177220903 -2.186025448
2.177225849 -6.531332409 -2.177227155  2.187419997 -6.541187708 -2.188709673  2.187320466 -6.541135897 -2.182944511  2.187300836 -6.541065965 -2.179571943  2.187307553 -6.541098403 -2.176513572  2.187191672 -6.541361809 -2.171940517  2.177226006 -6.531361548 -2.186023985
0.029200707 4.324794349 4.339201721  0.035715073 4.318553821 4.333257361  0.032881063 4.321390768 4.341393533  0.029903471 4.324368431 4.346511594  0.025690608 4.328580947 4.351258821  0.020049637 4.334220437 4.358373354  0.003891873 4.350355975 4.350355609
4.324792886 0.029201822 4.339202382  4.338653292 0.015619466 4.333421317  4.341204532 0.013067404 4.341192118  4.343961984 0.010309951 4.346020895  4.348107915 0.006164101 4.350639861  4.353779889 0.000484661 4.357605819  4.350351638 0.003895078 4.350355784
8.693662667 0.029242056 -0.029241254  8.700244022 0.021371031 -0.033759272  8.698752355 0.024135668 -0.016231746  8.698316632 0.025451442 0.000183727  8.69883909 0.024151348 0.01693326  8.700474566 0.021259797 0.034447919  8.69365739 0.029181078 0.029181601
0.029240836 8.693660716 -0.029241533  0.040930236 8.680946516 -0.03463561  0.043619991 8.679347255 -0.016671799  0.044910194 8.678854065 0.000176751  0.043648156 8.679327 0.017464121  0.040898339 8.680637202 0.035352519  0.029180469 8.693658469 0.029181392
-4.339201146 0.029201491 -4.324794836  -4.331027405 0.011289338 -4.339897826  -4.331876536 0.00510274 -4.334821994  -4.332408569 -0.00027295 -4.330848856  -4.333039542 -0.006525279 -4.327510528  -4.33370002 -0.014473827 -4.324323518  -4.343782893 -0.011835908 -4.343784618
0.029199593 -4.33920186 -4.324794331  0.033352878 -4.350865655 -4.339812458  0.026897552 -4.351714071 -4.334622088  0.021248721 -4.352297293 -4.330598572  0.014909688 -4.353060936 -4.327441362  0.00673921 -4.354165486 -4.324437706  -0.01183448 -4.343784861 -4.343784078
2.177259063 2.177260631 2.176791257  2.187072602 2.167197376 2.169043602  2.186868406 2.167403471 2.174002727  2.186790162 2.167481744 2.176638526  2.186761619 2.167510479 2.179535355  2.186863489 2.167406797 2.184661723  2.17722975 2.177232781 2.177233652
6.530888987 2.177204739 -2.177203033  6.540256951 2.180338603 -2.185761739  6.540209826 2.187610978 -2.179973729  6.540502499 2.191901824 -2.17658295  6.540766003 2.195168745 -2.173217233  6.540905334 2.198620258 -2.167563271  6.530206932 2.212080484 -2.176094624
2.177202684 6.530891147 -2.177202562  2.200624883 6.520665504 -2.186136419  2.207529437 6.520928478 -2.180297148  2.211837409 6.521201358 -2.176801209  2.215218372 6.521371046 -2.173189712  2.218855772 6.52103439 -2.1672471  2.212083149 6.53020789 -2.176094921
2.177201099 2.177202562 -6.530891948  2.18722166 2.167049488 -6.540960524  2.187106878 2.16716484 -6.536993061  2.187124196 2.16714762 -6.534519712  2.187137362 2.167134959 -6.531630867  2.187249902 2.167021747 -6.525623796  2.177217245 2.177215242 -6.531343469
-2.176793434 2.177259185 -2.177260074  -2.166393611 2.153646917 -2.186136837  -2.16665655 2.146742322 -2.180297125  -2.166929439 2.142434512 -2.176801123  -2.167098591 2.139053811 -2.173189884  -2.166761113 2.135415606 -2.167248463  -2.176095791 2.142330754 -2.176094886
2.177257165 -2.176791727 -2.177260788  2.173932708 -2.185984842 -2.185760548  2.166660813 -2.185938054 -2.17997377  2.16236995 -2.186230719 -2.17658295  2.159103211 -2.186493684 -2.173217015  2.15564831 -2.186631356 -2.167561538  2.142332321 -2.176094206 -2.176093179
0.003940223 4.350301651 -4.350301634  0.020028383 4.334243335 -4.357771812  0.025689925 4.328582037 -4.350699797  0.029904566 4.324367428 -4.345998706  0.032989858 4.321282328 -4.340873205  0.035706292 4.318565109 -4.332738889  0.029146366 4.324884134 -4.339221193
4.350297889 0.003943375 -4.350302174  4.35362026 0.000652101 -4.357018636  4.348048579 0.006223325 -4.350122828  4.344018684 0.010253316 -4.345545812  4.341132426 0.013139377 -4.340686642  4.338688327 0.015576699 -4.33281621  4.324884918 0.029145878 -4.339219939
2.177242535 2.177246001 -2.177246105  2.186902755 2.167369349 -2.184204599  2.186757544 2.167514424 -2.179033766  2.186785032 2.167486932 -2.176315114  2.186868176 2.167403869 -2.173476892  2.187117132 2.16715504 -2.168631628  2.177243458 2.177244433 -2.176770113
0.029238816 0.029243031 -8.693661883  0.045389603 0.024632416 -8.708965908  0.049514036 0.028800038 -8.707987236  0.051356749 0.030636943 -8.708327397  0.049546302 0.02877589 -8.708751156  0.045456134 0.024601813 -8.707686686  0.029180347 0.029181235 -8.723461757
0.003960514 0.003964032 -0.003964084  0.011490647 -0.007421873 -0.012295445  0.011152953 -0.007888628 -0.005114459  0.011050937 -0.008021061 0.000229017  0.011223334 -0.007924142 0.00570839  0.011829371 -0.007727004 0.012918318  0.003909882 0.003912164 0.003913139
